Amraiwadi,23.010590,72.619034
Asarwa,23.044980, 72.607700
Ashram Road,23.006986, 72.557490
Astodia,23.016830, 72.590975
Bapunagar,23.032660, 72.629494
Behrampura,23.003589, 72.583840
Bodakdev,23.044371, 72.517921
Bopal,23.030050, 72.464943
CG Road,23.039084, 72.562786
Chandkheda,23.112650, 72.583618
Chandlodia,23.093990, 72.546181
Dani Limbada,22.9960, 72.5818
Dariapur,23.0341, 72.5937
Delhi Chakla,23.0366, 72.5907
Delhi Darwaja,23.0378, 72.5880
Drive In Road,23.0463,72.5296
Dudheshwar,23.055955, 72.584138
Ellis Bridge,23.029550,72.570220
Gandhi Road,23.024500,72.581360
Geeta Mandir Road,23.016570,72.591050
Ghatlodia,23.074660,72.549080
Gheekanta,23.026630,72.584800
Ghodasar,22.979230,72.619420
Gulbai Tekra,23.025570,72.553780
Gurukul,23.041440,72.532410
Income Tax,23.046550,72.572490
Isanpur,22.974580,72.598900
Jamalpur,23.011360,72.584310
Jasodanagar,22.985930,72.618100
Jivraj Park,23.012250,72.533070
Juhapura,23.004080,72.522950
Juna Wadaj,23.053650,72.574020
Kalupur,23.027750,72.596764
Kankaria,23.005020,72.595160
Khadia,23.017880,72.597010
Khamasa,23.019110,72.586730
Khanpur,23.031891,72.576759
Khokhara,22.994460,72.617290
Krishnanagar,23.081400,72.593270
Kuber Nagar,23.075150,72.644340
Madhupura,23.043690,72.590760
Manek Chowk,23.040570,72.594430
Maninagar,22.989771,72.603821
Meghani Nagar
Memnagar
Naranpura
Naroda
Naroda GIDC
Naroda road
Narol
Nava Wadaj
Navarangpura Gam
Nikol
Nirnay Nagar
Odhav
Odhav GIDC
Odhav Road
Paldi
Pankore Naka
Raipur
Rakhial
Ranip
Ranna Park
Ratan Pole
Revdi Bazaar
Sabarmati
Sahijpur Bogha
Sarangpur
Saraspur
Sardar Nagar
Sarkej
Satellite
Satellite Road
Shah Alam Road
Shahibagh
Shahibaug Road
Shahpur
Sola
Sola Road
Subhash Bridge
Tavdipura
Teen Darwaja
Thakkarbapa Nagar
Thaltej
Usmanpura
Vasna
Vastral
Vastrapur
Vatva
Vatva GIDC
Vejalpur
